Commercial Part No,Part No,Reference,Flash,RAM
STM32C011D6Y3TR,STM32C011D6,STM32C011D6Yx,32 kBytes,6 kBytes
STM32C011D6Y6TR,STM32C011D6,STM32C011D6Yx,32 kBytes,6 kBytes
STM32C011F4P3,STM32C011F4,STM32C011F4Px,16 kBytes,6 kBytes
STM32C011F4P6,STM32C011F4,STM32C011F4Px,16 kBytes,6 kBytes
STM32C011F4U3,STM32C011F4,STM32C011F4Ux,16 kBytes,6 kBytes
STM32C011F4U6TR,STM32C011F4,STM32C011F4Ux,16 kBytes,6 kBytes
STM32C011F6P3,STM32C011F6,STM32C011F6Px,32 kBytes,6 kBytes
STM32C011F6P6,STM32C011F6,STM32C011F6Px,32 kBytes,6 kBytes
STM32C011F6U3,STM32C011F6,STM32C011F6Ux,32 kBytes,6 kBytes
STM32C011F6U6TR,STM32C011F6,STM32C011F6Ux,32 kBytes,6 kBytes
STM32C011J4M3,STM32C011J4,STM32C011J4Mx,16 kBytes,6 kBytes
STM32C011J4M6,STM32C011J4,STM32C011J4Mx,16 kBytes,6 kBytes
STM32C011J6M3,STM32C011J6,STM32C011J6Mx,32 kBytes,6 kBytes
STM32C011J6M6,STM32C011J6,STM32C011J6Mx,32 kBytes,6 kBytes
STM32C031C4T3,STM32C031C4,STM32C031C4Tx,16 kBytes,12 kBytes
STM32C031C4T6,STM32C031C4,STM32C031C4Tx,16 kBytes,12 kBytes
STM32C031C4U3,STM32C031C4,STM32C031C4Ux,16 kBytes,12 kBytes
STM32C031C4U6,STM32C031C4,STM32C031C4Ux,16 kBytes,12 kBytes
STM32C031C6T3,STM32C031C6,STM32C031C6Tx,32 kBytes,12 kBytes
STM32C031C6T6,STM32C031C6,STM32C031C6Tx,32 kBytes,12 kBytes
STM32C031C6U3,STM32C031C6,STM32C031C6Ux,32 kBytes,12 kBytes
STM32C031C6U6,STM32C031C6,STM32C031C6Ux,32 kBytes,12 kBytes
STM32C031F4P3,STM32C031F4,STM32C031F4Px,16 kBytes,12 kBytes
STM32C031F4P6,STM32C031F4,STM32C031F4Px,16 kBytes,12 kBytes
STM32C031F6P3,STM32C031F6,STM32C031F6Px,32 kBytes,12 kBytes
STM32C031F6P6,STM32C031F6,STM32C031F6Px,32 kBytes,12 kBytes
STM32C031G4U3,STM32C031G4,STM32C031G4Ux,16 kBytes,12 kBytes
STM32C031G4U6,STM32C031G4,STM32C031G4Ux,16 kBytes,12 kBytes
STM32C031G6U3,STM32C031G6,STM32C031G6Ux,32 kBytes,12 kBytes
STM32C031G6U6,STM32C031G6,STM32C031G6Ux,32 kBytes,12 kBytes
STM32C031K4T3,STM32C031K4,STM32C031K4Tx,16 kBytes,12 kBytes
STM32C031K4T6,STM32C031K4,STM32C031K4Tx,16 kBytes,12 kBytes
STM32C031K4U3,STM32C031K4,STM32C031K4Ux,16 kBytes,12 kBytes
STM32C031K4U6,STM32C031K4,STM32C031K4Ux,16 kBytes,12 kBytes
STM32C031K6T3,STM32C031K6,STM32C031K6Tx,32 kBytes,12 kBytes
STM32C031K6T6,STM32C031K6,STM32C031K6Tx,32 kBytes,12 kBytes
STM32C031K6U3,STM32C031K6,STM32C031K6Ux,32 kBytes,12 kBytes
STM32C031K6U6,STM32C031K6,STM32C031K6Ux,32 kBytes,12 kBytes
STM32F030C6T6,STM32F030C6,STM32F030C6Tx,32 kBytes,4 kBytes
STM32F030C6T6TR,STM32F030C6,STM32F030C6Tx,32 kBytes,4 kBytes
STM32F030C8T6,STM32F030C8,STM32F030C8Tx,64 kBytes,8 kBytes
STM32F030C8T6TR,STM32F030C8,STM32F030C8Tx,64 kBytes,8 kBytes
STM32F030CCT6,STM32F030CC,STM32F030CCTx,256 kBytes,32 kBytes
STM32F030CCT6TR,STM32F030CC,STM32F030CCTx,256 kBytes,32 kBytes
STM32F030F4P6,STM32F030F4,STM32F030F4Px,16 kBytes,4 kBytes
STM32F030F4P6TR,STM32F030F4,STM32F030F4Px,16 kBytes,4 kBytes
STM32F030K6T6,STM32F030K6,STM32F030K6Tx,32 kBytes,4 kBytes
STM32F030K6T6TR,STM32F030K6,STM32F030K6Tx,32 kBytes,4 kBytes
STM32F030R8T6,STM32F030R8,STM32F030R8Tx,64 kBytes,8 kBytes
STM32F030R8T6TR,STM32F030R8,STM32F030R8Tx,64 kBytes,8 kBytes
STM32F030RCT6,STM32F030RC,STM32F030RCTx,256 kBytes,32 kBytes
STM32F030RCT6TR,STM32F030RC,STM32F030RCTx,256 kBytes,32 kBytes
STM32F031C4T6,STM32F031C4,STM32F031C4Tx,16 kBytes,4 kBytes
STM32F031C4T6TR,STM32F031C4,STM32F031C4Tx,16 kBytes,4 kBytes
STM32F031C6T6,STM32F031C6,STM32F031C6Tx,32 kBytes,4 kBytes
STM32F031C6T6TR,STM32F031C6,STM32F031C6Tx,32 kBytes,4 kBytes
STM32F031C6T7,STM32F031C6,STM32F031C6Tx,32 kBytes,4 kBytes
STM32F031C6T7TR,STM32F031C6,STM32F031C6Tx,32 kBytes,4 kBytes
STM32F031E6Y6TR,STM32F031E6,STM32F031E6Yx,32 kBytes,4 kBytes
STM32F031F4P6,STM32F031F4,STM32F031F4Px,16 kBytes,4 kBytes
STM32F031F4P6TR,STM32F031F4,STM32F031F4Px,16 kBytes,4 kBytes
STM32F031F4P7,STM32F031F4,STM32F031F4Px,16 kBytes,4 kBytes
STM32F031F6P6,STM32F031F6,STM32F031F6Px,32 kBytes,4 kBytes
STM32F031F6P6TR,STM32F031F6,STM32F031F6Px,32 kBytes,4 kBytes
STM32F031F6P7,STM32F031F6,STM32F031F6Px,32 kBytes,4 kBytes
STM32F031F6P7TR,STM32F031F6,STM32F031F6Px,32 kBytes,4 kBytes
STM32F031G4U6,STM32F031G4,STM32F031G4Ux,16 kBytes,4 kBytes
STM32F031G4U6TR,STM32F031G4,STM32F031G4Ux,16 kBytes,4 kBytes
STM32F031G4U7,STM32F031G4,STM32F031G4Ux,16 kBytes,4 kBytes
STM32F031G4U7TR,STM32F031G4,STM32F031G4Ux,16 kBytes,4 kBytes
STM32F031G6U6,STM32F031G6,STM32F031G6Ux,32 kBytes,4 kBytes
STM32F031G6U6TR,STM32F031G6,STM32F031G6Ux,32 kBytes,4 kBytes
STM32F031G6U7,STM32F031G6,STM32F031G6Ux,32 kBytes,4 kBytes
STM32F031G6U7TR,STM32F031G6,STM32F031G6Ux,32 kBytes,4 kBytes
STM32F031K4U6,STM32F031K4,STM32F031K4Ux,16 kBytes,4 kBytes
STM32F031K4U6TR,STM32F031K4,STM32F031K4Ux,16 kBytes,4 kBytes
STM32F031K6T6,STM32F031K6,STM32F031K6Tx,32 kBytes,4 kBytes
STM32F031K6T7,STM32F031K6,STM32F031K6Tx,32 kBytes,4 kBytes
STM32F031K6T7TR,STM32F031K6,STM32F031K6Tx,32 kBytes,4 kBytes
STM32F031K6U6,STM32F031K6,STM32F031K6Ux,32 kBytes,4 kBytes
STM32F031K6U6TR,STM32F031K6,STM32F031K6Ux,32 kBytes,4 kBytes
STM32F031K6U7,STM32F031K6,STM32F031K6Ux,32 kBytes,4 kBytes
STM32F031K6U7TR,STM32F031K6,STM32F031K6Ux,32 kBytes,4 kBytes
STM32F038C6T6,STM32F038C6,STM32F038C6Tx,32 kBytes,4 kBytes
STM32F038C6T6TR,STM32F038C6,STM32F038C6Tx,32 kBytes,4 kBytes
STM32F038C6T7,STM32F038C6,STM32F038C6Tx,32 kBytes,4 kBytes
STM32F038E6Y6TR,STM32F038E6,STM32F038E6Yx,32 kBytes,4 kBytes
